Year,Type,Event Name,Spatial Coverage,Start Date,End Date,Notes / Replacement Logic
2024,Academic,Term 3 Break,Group B,Dec-21,Dec-29,
2024,Public,New Year's Day,"National (Exc. JHR, KDH, KEL, PLS, TRG)",Jan-01,Jan-01,
2024,Public,Thaipusam,State-specific,Jan-25,Jan-25,
2024,Public,Federal Territory Day,"KUL, LBN, PJY",Feb-01,Feb-01,
2024,Public,Chinese New Year,National,Feb-10,Feb-11,"Replacement observed on Monday, Feb 12"
2024,Public,Hari Raya Aidilfitri,National,Apr-10,Apr-11,
2024,Public,Labour Day,National,May-01,May-01,
2024,Public,Wesak Day,National,May-22,May-22,
2024,Public,Agong's Birthday,National,Jun-03,Jun-03,Ceremonies delayed to September
2024,Public,Hari Raya Haji,National,Jun-17,Jun-17,
2024,Public,Awal Muharram,National,Jul-07,Jul-07,"Replacement observed on Monday, Jul 8"
2024,Public,Agong's Coronation,National,Jul-20,Jul-20,Ad-hoc declaration (Non-recurring)
2024,Public,National Day,National,Aug-31,Aug-31,
2024,Public,Malaysia Day / Prophet Muhammad,National,Sep-16,Sep-16,Overlap anomaly: No replacement for civil servants
2024,Public,Deepavali,National (Exc. SRW),Oct-31,Oct-31,
2024,Public,Christmas Day,National,Dec-25,Dec-25,
2025,Academic,End of Year Break (24/25),Group A,Jan-17,Feb-15,Cross-year transition break
2025,Academic,End of Year Break (24/25),Group B,Jan-18,Feb-16,
2025,Academic,Extra Festive Leave (Aidilfitri),Group A,Mar-30,Apr-01,Cuti Tambahan Perayaan
2025,Academic,Extra Festive Leave (Aidilfitri),Group B,Mar-31,Apr-02,Cuti Tambahan Perayaan
2025,Academic,Term 1 Break,Group A,May-29,Jun-09,Compression begins to reset calendar
2025,Academic,Term 1 Break,Group B,May-29,Jun-09,
2025,Academic,Term 2 Break,Group A,Sep-12,Sep-20,
2025,Academic,Term 2 Break,Group B,Sep-13,Sep-21,
2025,Academic,End of Academic Year Break,Group A,Dec-19,Dec-31,"Extends to Jan 10, 2026"
2025,Academic,End of Academic Year Break,Group B,Dec-20,Dec-31,"Extends to Jan 11, 2026"
2025,Public,New Year's Day,"National (Exc. KDH, KEL, PLS, TRG)",Jan-01,Jan-01,Note: Johor reverts to Sat-Sun (Group B)
2025,Public,Chinese New Year,National,Jan-29,Jan-30,
2025,Public,Thaipusam,State-specific,Feb-11,Feb-11,
2025,Public,Hari Raya Aidilfitri,National,Mar-31,Apr-01,Overlaps with Extra Festive Leave
2025,Public,Labour Day,National,May-01,May-01,
2025,Public,Wesak Day,National,May-12,May-12,
2025,Public,Agong's Birthday,National,Jun-02,Jun-02,
2025,Public,Hari Raya Haji,National,Jun-07,Jun-07,
2025,Public,Awal Muharram,National,Jun-27,Jun-27,
2025,Public,National Day,National,Aug-31,Aug-31,"Replacement observed on Monday, Sep 1"
2025,Public,Prophet Muhammad's Birthday,National,Sep-05,Sep-05,
2025,Public,Additional Malaysia Day Holiday,National,Sep-15,Sep-15,Ad-hoc declaration (Severe velocity distortion)
2025,Public,Malaysia Day,National,Sep-16,Sep-16,
2025,Public,Deepavali,National (Exc. SRW),Oct-20,Oct-20,
2025,Public,Christmas Day,National,Dec-25,Dec-25,
2026,Academic,First Day of School,Group A,Jan-11,Jan-11,Return to Jan-commencement baseline
2026,Academic,First Day of School,Group B,Jan-12,Jan-12,
2026,Academic,Term 1 Break,Group A,Mar-20,Mar-28,Overlaps Hari Raya Puasa
2026,Academic,Term 1 Break,Group B,Mar-21,Mar-29,Overlaps Hari Raya Puasa
2026,Academic,Mid-Year Break,Group A,May-22,Jun-06,
2026,Academic,Mid-Year Break,Group B,May-23,Jun-07,
2026,Academic,Term 2 Break,Group A,Aug-28,Sep-05,
2026,Academic,Term 2 Break,Group B,Aug-29,Sep-06,
2026,Academic,Year-End Break,Group A,Dec-04,Dec-31,Seasonal stationarity restored
2026,Academic,Year-End Break,Group B,Dec-05,Dec-31,Seasonal stationarity restored
2026,Public,New Year's Day,"National (Exc. KDH, KEL, PLS, TRG)",Jan-01,Jan-01,
2026,Public,Thaipusam / FT Day Overlap,"State-specific / KUL, LBN, PJY",Feb-01,Feb-01,
2026,Public,Thaipusam / FT Day Replacements,Overlapping Territories Only,Feb-02,Feb-03,Cascading multi-day replacement anomaly
2026,Public,Chinese New Year,National,Feb-17,Feb-18,
2026,Public,Hari Raya Aidilfitri,National,Mar-21,Mar-22,"Replacement observed on Monday, Mar 23"
2026,Public,Labour Day,National,May-01,May-01,
2026,Public,Hari Raya Haji,National,May-27,May-27,
2026,Public,Wesak Day,National,May-31,May-31,"Replacement observed on Monday, Jun 1"
2026,Public,Agong's Birthday,National,Jun-01,Jun-01,Overlaps with Wesak Day replacement
2026,Public,Awal Muharram,National,Jun-17,Jun-17,
2026,Public,Prophet Muhammad's Birthday,National,Aug-25,Aug-25,
2026,Public,National Day,National,Aug-31,Aug-31,
2026,Public,Malaysia Day,National,Sep-16,Sep-16,
2026,Public,Deepavali,National (Exc. SRW),Nov-08,Nov-08,"Replacement observed on Monday, Nov 9"
2026,Public,Christmas Day,National,Dec-25,Dec-25,
