year,type,event_name,spatial_coverage,notes,start_date,end_date,duration_days
2020,Academic,Term 1 Break,Group A,Start of pandemic disruptions,2020-03-13,2020-03-21,9
2020,Academic,Term 1 Break,Group B,,2020-03-14,2020-03-22,9
2020,Academic,Mid-Year Break,Group A,Overlaps with Hari Raya Aidilfitri,2020-05-22,2020-06-06,16
2020,Academic,Mid-Year Break,Group B,,2020-05-23,2020-06-07,16
2020,Academic,Amended Term 2 Break,National,Truncated for pandemic recovery,2020-08-20,2020-08-24,5
2020,Academic,Amended Year-End Break,Group A,Truncated for pandemic recovery,2020-12-18,2020-12-31,14
2020,Academic,Amended Year-End Break,Group B,Truncated for pandemic recovery,2020-12-19,2020-12-31,13
2020,Public,New Year's Day,"National (Exc. JHR, KDH, KEL, PLS, TRG)",,2020-01-01,2020-01-01,1
2020,Public,Chinese New Year,National,"Replacement observed on Monday, Jan 27",2020-01-25,2020-01-26,2
2020,Public,Thaipusam,State-specific,"[State-specific: typically SGR, PNG, PRK, JHR, KUL]",2020-02-08,2020-02-08,1
2020,Public,Labour Day,National,,2020-05-01,2020-05-01,1
2020,Public,Wesak Day,National,,2020-05-07,2020-05-07,1
2020,Public,Hari Raya Aidilfitri,National,"Replacement observed on Tuesday, May 26",2020-05-24,2020-05-25,2
2020,Public,Agong's Birthday,National,,2020-06-06,2020-06-06,1
2020,Public,Hari Raya Haji,National,,2020-07-31,2020-07-31,1
2020,Public,Awal Muharram,National,,2020-08-20,2020-08-20,1
2020,Public,National Day,National,,2020-08-31,2020-08-31,1
2020,Public,Malaysia Day,National,,2020-09-16,2020-09-16,1
2020,Public,Prophet Muhammad's Birthday,National,,2020-10-29,2020-10-29,1
2020,Public,Deepavali,National (Exc. SRW),,2020-11-14,2020-11-14,1
2020,Public,Christmas Day,National,,2020-12-25,2020-12-25,1
2021,Academic,Term 1 Break,Group A,Academic year start delayed to Jan 20,2021-03-26,2021-04-03,9
2021,Academic,Term 1 Break,Group B,,2021-03-27,2021-04-04,9
2021,Academic,Mid-Year Break,Group A,,2021-05-28,2021-06-12,16
2021,Academic,Mid-Year Break,Group B,,2021-05-29,2021-06-13,16
2021,Academic,Term 2 Break (Part 1),Group A,Fractured structural pattern,2021-07-16,2021-07-24,9
2021,Academic,Term 2 Break (Part 1),Group B,,2021-07-17,2021-07-25,9
2021,Academic,Term 2 Break (Part 2),Group A,Fractured structural pattern,2021-09-10,2021-09-18,9
2021,Academic,Term 2 Break (Part 2),Group B,,2021-09-11,2021-09-19,9
2021,Academic,Year-End Break,Group A,,2021-12-10,2021-12-31,22
2021,Academic,Year-End Break,Group B,,2021-12-11,2021-12-31,21
2021,Public,New Year's Day,"National (Exc. JHR, KDH, KEL, PLS, TRG)",,2021-01-01,2021-01-01,1
2021,Public,Thaipusam,State-specific,"[State-specific: typically SGR, PNG, PRK, JHR, KUL]",2021-01-28,2021-01-28,1
2021,Public,Chinese New Year,National,,2021-02-12,2021-02-13,2
2021,Public,Labour Day,National,,2021-05-01,2021-05-01,1
2021,Public,Hari Raya Aidilfitri,National,,2021-05-13,2021-05-14,2
2021,Public,Wesak Day,National,,2021-05-26,2021-05-26,1
2021,Public,Agong's Birthday,National,,2021-06-07,2021-06-07,1
2021,Public,Hari Raya Haji,National,Replacement observed on Jul 21 in specific states,2021-07-20,2021-07-20,1
2021,Public,Awal Muharram,National,,2021-08-10,2021-08-10,1
2021,Public,National Day,National,,2021-08-31,2021-08-31,1
2021,Public,Malaysia Day,National,,2021-09-16,2021-09-16,1
2021,Public,Prophet Muhammad's Birthday,National,,2021-10-19,2021-10-19,1
2021,Public,Deepavali,National (Exc. SRW),,2021-11-04,2021-11-04,1
2021,Public,Christmas Day,National,,2021-12-25,2021-12-25,1
2022,Academic,Term 1 Break,Group A,Permanent shift to March start cycle,2022-06-03,2022-06-11,9
2022,Academic,Term 1 Break,Group B,,2022-06-04,2022-06-12,9
2022,Academic,Term 2 Break,Group A,,2022-09-02,2022-09-10,9
2022,Academic,Term 2 Break,Group B,,2022-09-03,2022-09-11,9
2022,Academic,Term 3 Break,Group A,No longer the primary End of Year Break,2022-12-09,2022-12-31,23
2022,Academic,Term 3 Break,Group B,,2022-12-10,2022-12-31,22
2022,Public,Chinese New Year,National,,2022-02-01,2022-02-02,2
2022,Public,Labour Day,National,"Replacement observed on Monday, May 2",2022-05-01,2022-05-01,1
2022,Public,Hari Raya Aidilfitri,National,,2022-05-03,2022-05-04,2
2022,Public,Wesak Day,National,"Replacement observed on Monday, May 16",2022-05-15,2022-05-15,1
2022,Public,Agong's Birthday,National,,2022-06-06,2022-06-06,1
2022,Public,Hari Raya Haji,National,"Replacement observed on Monday, Jul 11",2022-07-10,2022-07-10,1
2022,Public,Awal Muharram,National,,2022-07-30,2022-07-30,1
2022,Public,National Day,National,,2022-08-31,2022-08-31,1
2022,Public,Malaysia Day,National,,2022-09-16,2022-09-16,1
2022,Public,Prophet Muhammad's Birthday,National,"Replacement observed on Monday, Oct 10",2022-10-09,2022-10-09,1
2022,Public,Deepavali,National (Exc. SRW),,2022-10-24,2022-10-24,1
2022,Public,GE15 Polling Holidays,National,Ad-hoc declaration (Exogenous Shock),2022-11-18,2022-11-19,2
2022,Public,GE15 Post-Election Holiday,National,Ad-hoc declaration (Exogenous Shock),2022-11-28,2022-11-28,1
2022,Public,Christmas Day,National,"Replacement observed on Monday, Dec 26",2022-12-25,2022-12-25,1
2023,Academic,End of Year Break (22/23),Group A,Cross-year transition break,2023-02-17,2023-03-11,23
2023,Academic,End of Year Break (22/23),Group B,,2023-02-18,2023-03-12,23
2023,Academic,Mid-Term 1 Break,Group A,,2023-04-21,2023-04-29,9
2023,Academic,Mid-Term 1 Break,Group B,,2023-04-22,2023-04-30,9
2023,Academic,Term 1 Break,Group A,,2023-05-26,2023-06-03,9
2023,Academic,Term 1 Break,Group B,,2023-05-27,2023-06-04,9
2023,Academic,Term 2 Break,Group A,,2023-08-25,2023-09-02,9
2023,Academic,Term 2 Break,Group B,,2023-08-26,2023-09-03,9
2023,Academic,Term 3 Break,Group A,"Extends to Jan 1, 2024",2023-12-15,2023-12-31,17
2023,Academic,Term 3 Break,Group B,"Extends to Jan 1, 2024",2023-12-16,2023-12-31,16
2023,Public,New Year's Day,National (Exc. specific states),"Replacement on Monday, Jan 2",2023-01-01,2023-01-01,1
2023,Public,Chinese New Year,National,"Replacement observed on Tuesday, Jan 24",2023-01-22,2023-01-23,2
2023,Public,Thaipusam,State-specific,"Replacement on Monday, Feb 6 [State-specific: typically SGR, PNG, PRK, JHR, KUL]",2023-02-05,2023-02-05,1
2023,Public,Extra Aidilfitri Holiday,National,Ad-hoc declaration (Executive Intervention),2023-04-21,2023-04-21,1
2023,Public,Hari Raya Aidilfitri,National,"Replacement observed on Monday, Apr 24",2023-04-22,2023-04-23,2
2023,Public,Labour Day,National,,2023-05-01,2023-05-01,1
2023,Public,Wesak Day,National,,2023-05-04,2023-05-04,1
2023,Public,Agong's Birthday,National,,2023-06-05,2023-06-05,1
2023,Public,Hari Raya Haji,National,,2023-06-29,2023-06-29,1
2023,Public,Awal Muharram,National,,2023-07-19,2023-07-19,1
2023,Public,National Day,National,,2023-08-31,2023-08-31,1
2023,Public,Malaysia Day,National,,2023-09-16,2023-09-16,1
2023,Public,Prophet Muhammad's Birthday,National,,2023-09-28,2023-09-28,1
2023,Public,Deepavali,National (Exc. SRW),"Replacement observed on Monday, Nov 13",2023-11-12,2023-11-12,1
2023,Public,Christmas Day,National,,2023-12-25,2023-12-25,1
2024,Academic,End of Year Break (23/24),Group A,Cross-year transition break,2024-02-09,2024-03-09,30
2024,Academic,End of Year Break (23/24),Group B,,2024-02-10,2024-03-10,30
2024,Academic,Term 1 Break,Group A,,2024-05-24,2024-06-02,10
2024,Academic,Term 1 Break,Group B,,2024-05-25,2024-06-02,9
2024,Academic,Term 2 Break,Group A,,2024-09-13,2024-09-21,9
2024,Academic,Term 2 Break,Group B,,2024-09-14,2024-09-22,9
2024,Academic,Term 3 Break,Group A,,2024-12-20,2024-12-28,9
2024,Academic,Term 3 Break,Group B,,2024-12-21,2024-12-29,9
2024,Public,New Year's Day,"National (Exc. JHR, KDH, KEL, PLS, TRG)",,2024-01-01,2024-01-01,1
2024,Public,Thaipusam,State-specific,"[State-specific: typically SGR, PNG, PRK, JHR, KUL]",2024-01-25,2024-01-25,1
2024,Public,Federal Territory Day,"KUL, LBN, PJY",,2024-02-01,2024-02-01,1
2024,Public,Chinese New Year,National,"Replacement observed on Monday, Feb 12",2024-02-10,2024-02-11,2
2024,Public,Hari Raya Aidilfitri,National,,2024-04-10,2024-04-11,2
2024,Public,Labour Day,National,,2024-05-01,2024-05-01,1
2024,Public,Wesak Day,National,,2024-05-22,2024-05-22,1
2024,Public,Agong's Birthday,National,Ceremonies delayed to September,2024-06-03,2024-06-03,1
2024,Public,Hari Raya Haji,National,,2024-06-17,2024-06-17,1
2024,Public,Awal Muharram,National,"Replacement observed on Monday, Jul 8",2024-07-07,2024-07-07,1
2024,Public,Agong's Coronation,National,Ad-hoc declaration (Non-recurring),2024-07-20,2024-07-20,1
2024,Public,National Day,National,,2024-08-31,2024-08-31,1
2024,Public,Malaysia Day / Prophet Muhammad,National,Overlap anomaly: No replacement for civil servants,2024-09-16,2024-09-16,1
2024,Public,Deepavali,National (Exc. SRW),,2024-10-31,2024-10-31,1
2024,Public,Christmas Day,National,,2024-12-25,2024-12-25,1
2025,Academic,End of Year Break (24/25),Group A,Cross-year transition break,2025-01-17,2025-02-15,30
2025,Academic,End of Year Break (24/25),Group B,,2025-01-18,2025-02-16,30
2025,Academic,Extra Festive Leave (Aidilfitri),Group A,Cuti Tambahan Perayaan,2025-03-30,2025-04-01,3
2025,Academic,Extra Festive Leave (Aidilfitri),Group B,Cuti Tambahan Perayaan,2025-03-31,2025-04-02,3
2025,Academic,Term 1 Break,Group A,Compression begins to reset calendar,2025-05-29,2025-06-09,12
2025,Academic,Term 1 Break,Group B,,2025-05-29,2025-06-09,12
2025,Academic,Term 2 Break,Group A,,2025-09-12,2025-09-20,9
2025,Academic,Term 2 Break,Group B,,2025-09-13,2025-09-21,9
2025,Academic,End of Academic Year Break,Group A,"Extends to Jan 10, 2026",2025-12-19,2025-12-31,13
2025,Academic,End of Academic Year Break,Group B,"Extends to Jan 11, 2026",2025-12-20,2025-12-31,12
2025,Public,New Year's Day,"National (Exc. KDH, KEL, PLS, TRG)",Note: Johor reverts to Sat-Sun (Group B),2025-01-01,2025-01-01,1
2025,Public,Chinese New Year,National,,2025-01-29,2025-01-30,2
2025,Public,Thaipusam,State-specific,"[State-specific: typically SGR, PNG, PRK, JHR, KUL]",2025-02-11,2025-02-11,1
2025,Public,Hari Raya Aidilfitri,National,Overlaps with Extra Festive Leave,2025-03-31,2025-04-01,2
2025,Public,Labour Day,National,,2025-05-01,2025-05-01,1
2025,Public,Wesak Day,National,,2025-05-12,2025-05-12,1
2025,Public,Agong's Birthday,National,,2025-06-02,2025-06-02,1
2025,Public,Hari Raya Haji,National,,2025-06-07,2025-06-07,1
2025,Public,Awal Muharram,National,,2025-06-27,2025-06-27,1
2025,Public,National Day,National,"Replacement observed on Monday, Sep 1",2025-08-31,2025-08-31,1
2025,Public,Prophet Muhammad's Birthday,National,,2025-09-05,2025-09-05,1
2025,Public,Additional Malaysia Day Holiday,National,Ad-hoc declaration (Severe velocity distortion),2025-09-15,2025-09-15,1
2025,Public,Malaysia Day,National,,2025-09-16,2025-09-16,1
2025,Public,Deepavali,National (Exc. SRW),,2025-10-20,2025-10-20,1
2025,Public,Christmas Day,National,,2025-12-25,2025-12-25,1
2026,Academic,First Day of School,Group A,Return to Jan-commencement baseline,2026-01-11,2026-01-11,1
2026,Academic,First Day of School,Group B,,2026-01-12,2026-01-12,1
2026,Academic,Term 1 Break,Group A,Overlaps Hari Raya Puasa,2026-03-20,2026-03-28,9
2026,Academic,Term 1 Break,Group B,Overlaps Hari Raya Puasa,2026-03-21,2026-03-29,9
2026,Academic,Mid-Year Break,Group A,,2026-05-22,2026-06-06,16
2026,Academic,Mid-Year Break,Group B,,2026-05-23,2026-06-07,16
2026,Academic,Term 2 Break,Group A,,2026-08-28,2026-09-05,9
2026,Academic,Term 2 Break,Group B,,2026-08-29,2026-09-06,9
2026,Academic,Year-End Break,Group A,Seasonal stationarity restored,2026-12-04,2026-12-31,28
2026,Academic,Year-End Break,Group B,Seasonal stationarity restored,2026-12-05,2026-12-31,27
2026,Public,New Year's Day,"National (Exc. KDH, KEL, PLS, TRG)",,2026-01-01,2026-01-01,1
2026,Public,Thaipusam / FT Day Overlap,"State-specific / KUL, LBN, PJY",,2026-02-01,2026-02-01,1
2026,Public,Thaipusam / FT Day Replacements,Overlapping Territories Only,Cascading multi-day replacement anomaly,2026-02-02,2026-02-03,2
2026,Public,Chinese New Year,National,,2026-02-17,2026-02-18,2
2026,Public,Hari Raya Aidilfitri,National,"Replacement observed on Monday, Mar 23",2026-03-21,2026-03-22,2
2026,Public,Labour Day,National,,2026-05-01,2026-05-01,1
2026,Public,Hari Raya Haji,National,,2026-05-27,2026-05-27,1
2026,Public,Wesak Day,National,"Replacement observed on Monday, Jun 1",2026-05-31,2026-05-31,1
2026,Public,Agong's Birthday,National,Overlaps with Wesak Day replacement,2026-06-01,2026-06-01,1
2026,Public,Awal Muharram,National,,2026-06-17,2026-06-17,1
2026,Public,Prophet Muhammad's Birthday,National,,2026-08-25,2026-08-25,1
2026,Public,National Day,National,,2026-08-31,2026-08-31,1
2026,Public,Malaysia Day,National,,2026-09-16,2026-09-16,1
2026,Public,Deepavali,National (Exc. SRW),"Replacement observed on Monday, Nov 9",2026-11-08,2026-11-08,1
2026,Public,Christmas Day,National,,2026-12-25,2026-12-25,1
